node,file,source,mtime_date,mtime_time,mtime_tz,size
lnx200nas,events.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:17.713909380,+0200,1369475
lnx200nas,events.local.000.jsonl,lnx200nas,2026-06-02,15:54:17.818690652,+0200,1369475
lnx200nas,event_log.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:16.906126212,+0200,1582200
lnx200nas,event_log.local.000.jsonl,lnx200nas,2026-06-02,14:30:46.814568263,+0200,1582200
lnx202pc,events.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:18.195526845,+0200,1369475
lnx202pc,event_log.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:17.675521581,+0200,1582200
lnx203hp,events.lnx200nas.000.jsonl,lnx200nas,2026-06-02,13:36:46.186795794,+0200,910110
lnx203hp,event_log.lnx200nas.000.jsonl,lnx200nas,2026-06-02,13:36:45.196789135,+0200,1049737
lnx200nas,events.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:17.447138003,+0200,1873995
lnx200nas,event_log.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:16.883125711,+0200,1948146
lnx202pc,events.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:16.929398225,+0200,1873995
lnx202pc,events.local.000.jsonl,lnx202pc,2026-06-02,15:54:16.940514141,+0200,1873995
lnx202pc,event_log.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:18.550530439,+0200,1948146
lnx202pc,event_log.local.000.jsonl,lnx202pc,2026-06-02,14:11:04.463361253,+0200,1948146
lnx203hp,events.lnx202pc.000.jsonl,lnx202pc,2026-06-02,13:36:44.241782711,+0200,1704703
lnx203hp,event_log.lnx202pc.000.jsonl,lnx202pc,2026-06-02,13:36:43.505777760,+0200,1762173
lnx200nas,events.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:46.807303940,+0200,1817338
lnx200nas,event_log.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:45.712280256,+0200,1836439
lnx202pc,events.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:47.136353090,+0200,1817338
lnx202pc,event_log.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:46.016341695,+0200,1836439
lnx203hp,events.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:46.205795922,+0200,1817338
lnx203hp,events.local.000.jsonl,lnx203hp,2026-06-02,13:36:46.292796507,+0200,1817338
lnx203hp,event_log.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:45.128968670,+0200,1836439
lnx203hp,event_log.local.000.jsonl,lnx203hp,2026-06-02,13:36:44.751786141,+0200,1836439
lnx200nas,events.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:17.713909380,+0200,1369475
lnx200nas,events.local.000.jsonl,lnx200nas,2026-06-02,15:54:17.818690652,+0200,1369475
lnx200nas,event_log.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:16.906126212,+0200,1582200
lnx200nas,event_log.local.000.jsonl,lnx200nas,2026-06-02,14:30:46.814568263,+0200,1582200
lnx202pc,events.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:18.195526845,+0200,1369475
lnx202pc,event_log.lnx200nas.000.jsonl,lnx200nas,2026-06-02,15:54:17.675521581,+0200,1582200
lnx203hp,events.lnx200nas.000.jsonl,lnx200nas,2026-06-02,13:36:46.186795794,+0200,910110
lnx203hp,event_log.lnx200nas.000.jsonl,lnx200nas,2026-06-02,13:36:45.196789135,+0200,1049737
lnx200nas,events.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:17.447138003,+0200,1873995
lnx200nas,event_log.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:16.883125711,+0200,1948146
lnx202pc,events.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:16.929398225,+0200,1873995
lnx202pc,events.local.000.jsonl,lnx202pc,2026-06-02,15:54:16.940514141,+0200,1873995
lnx202pc,event_log.lnx202pc.000.jsonl,lnx202pc,2026-06-02,15:54:18.550530439,+0200,1948146
lnx202pc,event_log.local.000.jsonl,lnx202pc,2026-06-02,14:11:04.463361253,+0200,1948146
lnx203hp,events.lnx202pc.000.jsonl,lnx202pc,2026-06-02,13:36:44.241782711,+0200,1704703
lnx203hp,event_log.lnx202pc.000.jsonl,lnx202pc,2026-06-02,13:36:43.505777760,+0200,1762173
lnx200nas,events.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:46.807303940,+0200,1817338
lnx200nas,event_log.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:45.712280256,+0200,1836439
lnx202pc,events.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:47.136353090,+0200,1817338
lnx202pc,event_log.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:46.016341695,+0200,1836439
lnx203hp,events.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:46.205795922,+0200,1817338
lnx203hp,events.local.000.jsonl,lnx203hp,2026-06-02,13:36:46.292796507,+0200,1817338
lnx203hp,event_log.lnx203hp.000.jsonl,lnx203hp,2026-06-02,13:36:45.128968670,+0200,1836439
lnx203hp,event_log.local.000.jsonl,lnx203hp,2026-06-02,13:36:44.751786141,+0200,1836439
