event_index,attempt,node,status_code,elapsed_ms,leader,result,final
0,1,http://100.100.1.200:7000,200,12.035,lnx200nas,submit_ok,ok
1,1,http://100.100.1.200:7000,200,18.829,lnx200nas,submit_ok,ok
2,1,http://100.100.1.200:7000,200,7.4,lnx200nas,submit_ok,ok
3,1,http://100.100.1.202:7000,200,5.703,,retryable_error,retry
4,1,http://100.100.1.200:7000,200,16.917,lnx200nas,submit_ok,ok
5,1,http://100.100.1.203:7000,200,7.903,,retryable_error,retry
6,1,http://100.100.1.202:7000,200,16.264,,retryable_error,retry
7,1,http://100.100.1.203:7000,200,5.301,,retryable_error,retry
3,2,http://100.100.1.203:7000,200,4.919,,retryable_error,retry
8,1,http://100.100.1.202:7000,200,10.173,,retryable_error,retry
10,1,http://100.100.1.203:7000,200,3.855,,retryable_error,retry
9,1,http://100.100.1.200:7000,200,17.779,lnx200nas,submit_ok,ok
5,2,http://100.100.1.200:7000,200,57.462,lnx200nas,submit_ok,ok
6,2,http://100.100.1.200:7000,200,49.04,lnx200nas,submit_ok,ok
11,1,http://100.100.1.203:7000,200,3.755,,retryable_error,retry
7,2,http://100.100.1.202:7000,200,4.167,,retryable_error,retry
12,1,http://100.100.1.200:7000,200,9.839,lnx200nas,submit_ok,ok
8,2,http://100.100.1.200:7000,200,7.78,lnx200nas,submit_ok,ok
10,2,http://100.100.1.200:7000,200,7.044,lnx200nas,submit_ok,ok
13,1,http://100.100.1.200:7000,200,9.292,lnx200nas,submit_ok,ok
14,1,http://100.100.1.200:7000,200,10.514,lnx200nas,submit_ok,ok
3,3,http://100.100.1.200:7000,200,9.732,lnx200nas,submit_ok,ok
11,2,http://100.100.1.202:7000,200,9.639,,retryable_error,retry
15,1,http://100.100.1.202:7000,200,8.786,,retryable_error,retry
16,1,http://100.100.1.203:7000,200,7.706,,retryable_error,retry
17,1,http://100.100.1.200:7000,200,19.928,lnx200nas,submit_ok,ok
18,1,http://100.100.1.200:7000,200,14.652,,retryable_error,retry
7,3,http://100.100.1.200:7000,200,13.849,,retryable_error,retry
19,1,http://100.100.1.202:7000,200,6.468,,retryable_error,retry
15,2,http://100.100.1.203:7000,200,8.778,,retryable_error,retry
16,2,http://100.100.1.200:7000,200,24.935,lnx200nas,submit_ok,ok
20,1,http://100.100.1.202:7000,200,5.901,,retryable_error,retry
